"","BRCA_CIN_loss_nWGD","BRCA_CIN_gain_nWGD","BRCA_CIN_nWGD","BRCA_CIN_loss_WGD","BRCA_CIN_gain_WGD","BRCA_CIN_WGD"
"Chrom1",0.0927944535851479,0.314186777261749,0.406981230846897,0.135460577871783,0.455610497834686,0.59107107570647
"Chrom2",0.0691118141921519,0.0206869699630304,0.0897987841551823,0.102347466558146,0.029920422409944,0.13226788896809
"Chrom3",0.101785432772118,0.0611988407769474,0.162984273549066,0.149655516180161,0.0885144209286093,0.23816993710877
"Chrom4",0.155888843164342,0.0193877718790048,0.175276615043347,0.225592628060593,0.0280577497303846,0.253650377790978
"Chrom5",0.111131268709703,0.0983121269879067,0.20944339569761,0.160833510313345,0.142193565040623,0.303027075353969
"Chrom6",0.174603054495489,0.0489784966130493,0.223581551108539,0.252810624313293,0.0708615265917739,0.323672150905067
"Chrom7",0.0571521380111513,0.119652603974231,0.176804741985382,0.0850964049108277,0.173059474581401,0.258155879492228
"Chrom8",0.169800958292577,0.257903213458426,0.427704171751003,0.246361475368029,0.373016111172796,0.619377586540826
"Chrom9",0.13646664487793,0.0464002777828331,0.182866922660762,0.199812068548585,0.0671149683729569,0.266927036921542
"Chrom10",0.0992035804323734,0.0446612281870433,0.143864808619417,0.145921276088774,0.0645953861339431,0.210516662222717
"Chrom11",0.242396132802426,0.0535504702413869,0.295946603043813,0.353026601833752,0.0774522654954694,0.430478867329222
"Chrom12",0.086777094173397,0.0530531258033145,0.139830219976711,0.125587522177183,0.0767329356130866,0.20232045779027
"Chrom13",0.263169399315508,0.0403012526744497,0.303470651989958,0.383071838522186,0.0582893727706066,0.441361211292792
"Chrom14",0.163845031287026,0.043953398697246,0.207798429984272,0.239392750793495,0.0635716229938216,0.302964373787317
"Chrom15",0.133966239826075,0.0482059648155958,0.18217220464167,0.196199951748444,0.0697222856967031,0.265922237445147
"Chrom16",0.404225362546493,0.152857865049408,0.557083227595901,0.586144496513046,0.222027098522,0.808171595035047
"Chrom17",0.258043727625422,0.126973370467206,0.385017098092628,0.375658367028963,0.183646850456227,0.559305217485191
"Chrom18",0.176036775255817,0.058120492871525,0.234157268127342,0.257048311528535,0.0840620787141813,0.341110390242716
"Chrom19",0.0618529208210562,0.0582861912210172,0.120139112042073,0.0918994684070398,0.0843017351074712,0.176201203514511
"Chrom20",0.0523795272231095,0.165840537928214,0.218220065151324,0.0781977064470827,0.239862046320564,0.318059752767647
"Chrom21",0.0813386354849726,0.0490671032103886,0.130405738695361,0.120079686180988,0.0709705651515706,0.191050251332559
"Chrom22",0.35132291927144,0.0243271026554138,0.375650021926853,0.510571929580399,0.0351852972552692,0.545757226835668
